EPA ID,Site Name,City,Country,State,National Priorities List Status,Superfund Alternative Approach,Construction Complete,Site-wide Ready for Anticipated Use,Human Exposure Under Control,Groundwater Migration Under Control
NED981713837,10TH STREET SITE,COLUMBUS,PLATTE,NE,Final NPL,No ,Yes,Yes,Yes,Yes
KSD007241656,29TH & MEAD GROUND WATER CONTAMINATION,WICHITA,SEDGWICK,KS,Deleted NPL,No ,No ,No ,Yes,Yes
ALN000410750,35TH AVENUE,BIRMINGHAM,JEFFERSON,AL,Proposed NPL,No ,No ,No ,Status Unavailable,Status Unavailable
KSD981710247,57TH AND NORTH BROADWAY STREETS SITE,WICHITA,SEDGWICK,KS,Final NPL,No ,Yes,No ,Yes,No
MDD980918387,68TH STREET DUMP/INDUSTRIAL ENTERPRISES,ROSEDALE,BALTIMORE,MD,Proposed NPL,Yes,No ,No ,Yes,Yes
UTD981548985,700 SOUTH 1600 EAST PCE PLUME,SALT LAKE CITY,SALT LAKE,UT,Final NPL,No ,No ,No ,No,Insufficient Data
ILD980397079,"A & F MATERIAL RECLAIMING, INC.",GREENUP,CUMBERLAND,IL,Deleted NPL,No ,Yes,Yes,Yes,Yes
NJD030253355,A. O. POLYMER,SPARTA TOWNSHIP,SUSSEX,NJ,Final NPL,No ,Yes,Yes,Yes,Yes
PAD004351003,A.I.W. FRANK/MID-COUNTY MUSTANG,EXTON,CHESTER,PA,Final NPL,No ,Yes,Yes,Yes,Yes
KYD980500961,A.L. TAYLOR (VALLEY OF DRUMS),BROOKS,BULLITT,KY,Deleted NPL,No ,Yes,No ,Yes,Yes
NCD024644494,ABC ONE HOUR CLEANERS,JACKSONVILLE,ONSLOW,NC,Final NPL,No ,Yes,No ,Yes,Yes
NCN000407447,ABERDEEN CONTAMINATED GROUND WATER,ABERDEEN,MOORE,NC,Final NPL,No ,No ,No ,No,No
NCD980843346,ABERDEEN PESTICIDE DUMPS,ABERDEEN,MOORE,NC,Final NPL,No ,Yes,Yes,Yes,Yes
MD2210020036,ABERDEEN PROVING GROUND (EDGEWOOD AREA),EDGEWOOD,HARFORD,MD,Final NPL,No ,No ,No ,Yes,Insufficient Data
MD3210021355,ABERDEEN PROVING GROUND (MICHAELSVILLE LANDFILL),ABERDEEN,HARFORD,MD,Final NPL,No ,Yes,No ,Yes,Insufficient Data
VAD980551683,ABEX CORP.,PORTSMOUTH,PORTSMOUTH CITY,VA,Final NPL,No ,Yes,Yes,Yes,Yes
KSD046746731,ACE SERVICES,COLBY,THOMAS,KS,Final NPL,No ,Yes,Yes,Yes,Yes
MTD093291599,ACM SMELTER AND REFINERY,BLACK EAGLE,CASCADE,MT,Final NPL,No ,No ,No ,No,Insufficient Data
ILD053219259,"ACME SOLVENT RECLAIMING, INC. (MORRISTOWN PLANT)",MORRISTOWN,WINNEBAGO,IL,Final NPL,No ,Yes,No ,Yes,Yes
ILN000509241,ACME STEEL COKE PLANT,CHICAGO,COOK,IL,Final NPL,No ,No ,No ,Insufficient Data,Insufficient Data
NYD072366453,"ACTION ANODIZING, PLATING, & POLISHING CORP.",COPIAGUE,SUFFOLK,NY,Deleted NPL,No ,Yes,Yes,Yes,Yes
AK4170024323,ADAK NAVAL AIR STATION,ADAK,[Blank County],AK,Final NPL,No ,No ,No ,Yes,Yes
MID006522791,ADAM'S PLATING,LANSING,INGHAM,MI,Final NPL,No ,Yes,No ,No,Insufficient Data
ILD980607055,ADAMS COUNTY QUINCY LANDFILLS 2&3,QUINCY,ADAMS,IL,Final NPL,No ,Yes,No ,Insufficient Data,Insufficient Data
SCD047563614,ADMIRAL HOME APPLIANCES,WILLISTON,BARNWELL,SC,Not NPL,Yes,Yes,No ,Yes,Yes
MND980904023,ADRIAN MUNICIPAL WELL FIELD,ADRIAN,NOBLES,MN,Deleted NPL,No ,Yes,No ,Yes,Yes
CAD048634059,"ADVANCED MICRO DEVICES, INC.",SUNNYVALE,SANTA CLARA,CA,Final NPL,No ,Yes,No ,Yes,Yes
