EPA ID,Site Name,City,County,State,National Priorities List Status,Superfund Alternative Approach,Construction Complete,Site-wide Ready for Anticipated Use,Human Exposure Under Control,Groundwater Migration Under Control,Region,Site ID,Address,Zip,FF Ind,NAI,Native American Entity (NAI Status),Latitude,Longitude,NPL Status Date
AK0001897602,SALT CHUCK MINE,THORNE BAY,[Blank County],AK,Final NPL,No ,No ,No ,Yes,Yes,10.0,1001984.0,"4 MI SW CY,  T72S R84E S17, COPPER RIVER MERIDIAN, 3.5 AIR MI N OF KARTA BAY",99919.0,N,Y,Organized Village of Kasaan (Current),55.626442,-132.558853,03/04/10
AK1570028646,EIELSON AIR FORCE BASE,FAIRBANKS,FAIRBANKS NORTH STAR,AK,Final NPL,No ,Yes,No ,Insufficient Data,Insufficient Data,10.0,1000110.0,HIGHWAY 2 - 16 MI SE OF FAIRBANKS,99702.0,Y,N,,64.67145,-147.0492,11/21/89
AK4170024323,ADAK NAVAL AIR STATION,ADAK,[Blank County],AK,Final NPL,No ,No ,No ,Yes,Yes,10.0,1000128.0,ADAK IS,99546.0,Y,N,,51.8775,-176.6525,05/31/94
AK6210022426,FORT WAINWRIGHT,FORT WAINWRIGHT,[Blank County],AK,Final NPL,No ,Yes,No ,Insufficient Data,Insufficient Data,10.0,1001146.0,"RICHARDSON HWY, SE OF CY",99703.0,Y,N,,64.823,-147.6106,08/30/90
AK6214522157,FORT RICHARDSON (USARMY),ANCHORAGE,[Blank County],AK,Final NPL,No ,Yes,No ,Insufficient Data,Insufficient Data,10.0,1001455.0,Postal Address is unavailable for the Site,99505.0,Y,N,,61.258333,-149.7,05/31/94
AK8570028649,ELMENDORF AIR FORCE BASE,ANCHORAGE,[Blank County],AK,Final NPL,No ,No ,No ,Insufficient Data,Insufficient Data,10.0,1000155.0,N BOUNDRY OF CITY LIMITS,99506.0,Y,Y,Chickaloon Native Village (Current); Eklutna Native Village (Current); Knik Tribe (Current),61.254169,-149.7917,08/30/90
AKD004904215,ALASKA BATTERY ENTERPRISES,FAIRBANKS,FAIRBANKS NORTH STAR,AK,Deleted NPL,No ,Yes,Yes,Yes,Yes,10.0,1000017.0,157 OLD RICHARDSON HIGHWAY,99701.0,N,N,,64.8203,-147.7038,07/26/96
AKD980978787,STANDARD STEEL & METALS SALVAGE YARD (USDOT),ANCHORAGE,ANCHORAGE,AK,Deleted NPL,No ,Yes,Yes,Yes,Yes,10.0,1000073.0,2400 RAILROAD AVENUE,99501.0,Y,N,,61.2279,-149.8324,09/30/02
AKD980983241,ALASKA RAILROAD ANCHORAGE YARD,ANCHORAGE,ANCHORAGE,AK,Not NPL,Yes,No ,No ,Yes,Insufficient Data,,,,,,,,,,
AKD980988158,ARCTIC SURPLUS,FAIRBANKS,[Blank County],AK,Deleted NPL,No ,Yes,Yes,Yes,Yes,10.0,1000082.0,BADGER RD AND OLD RICHARDSON WAY MI. 6,99701.0,N,N,,64.8122,-147.5643,09/25/06
