Region,State,Site Name,Site ID,EPA ID,Address,City,Zip,County,FF Ind,NAI,Native American Entity (NAI Status),Latitude,Longitude,NPL Status Date
01,CT,CHESHIRE GROUND WATER CONTAMINATION,0100265,CTD981067317,604 WEST JOHNSON AVENUE,CHESHIRE,06410,NEW HAVEN,N,N,,+41.557500,-72.910833,07/02/97
01,CT,NUTMEG VALLEY ROAD,0100250,CTD980669261,NUTMEG VALLEY ROAD,WOLCOTT,06716,NEW HAVEN,N,N,,+41.574800,-072.998600,09/23/05
01,CT,OLD SOUTHINGTON LANDFILL,0100251,CTD980670806,OLD TURNPIKE RD,SOUTHINGTON,06489,HARTFORD,N,N,,+41.579169,-72.881939,09/12/18
01,CT,REVERE TEXTILE PRINTS CORP.,0100121,CTD004532610,RAILROAD AVENUE,STERLING,06377,WINDHAM,N,N,,41.708331,-71.829169,09/02/94
01,MA,CANNON ENGINEERING CORP. (CEC),0100585,MAD079510780,FIRST ST,BRIDGEWATER,02324,PLYMOUTH,N,N,,+41.972700,-071.025600,09/24/13
01,MA,FORT DEVENS-SUDBURY TRAINING ANNEX,0100685,MAD980520670,HUDSON RD,SUDBURY,01775,MIDDLESEX,Y,N,,42.406944,-71.475278,01/29/02
01,MA,HATHEWAY & PATTERSON,0102724,MAD001060805,15 COUNTY ROAD,MANSFIELD,02048,BRISTOL,N,N,,+42.038194,-71.222500,02/16/18
01,MA,MATERIALS TECHNOLOGY LABORATORY (USARMY),0100953,MA0213820939,OFF OF US HWY 20/N BEACON ST,WATERTOWN,02172,MIDDLESEX,Y,N,,42.360416,-71.166111,11/21/06
01,MA,NORWOOD PCBS,0100732,MAD980670566,NEAR RTE 1 & DEAN STREET,NORWOOD,02062,NORFOLK,N,N,,42.180831,-071.192500,05/31/11
01,MA,PLYMOUTH HARBOR/CANNON ENGINEERING CORP.,0100726,MAD980525232,CORDAGE PARK,PLYMOUTH,02360,PLYMOUTH,N,N,,+41.979600,-070.685400,11/19/93
01,MA,SALEM ACRES,0100727,MAD980525240,57 MARLBORO RD,SALEM,01970,ESSEX,N,N,,+42.503000,-070.931300,07/23/01
01,MA,SHPACK LANDFILL,0100655,MAD980503973,UNION RD,NORTON/ATTLEBORO,02703,BRISTOL,N,N,,41.943331,-71.235000,09/05/17
01,ME,MCKIN CO.,0101027,MED980524078,MAYALL RD,GRAY,04039,CUMBERLAND,N,N,,+43.884100,-70.294200,08/17/22
01,ME,O'CONNOR CO.,0101031,MED980731475,"EASTERN AVE, RT 17",AUGUSTA,04330,KENNEBEC,N,N,,44.301916,-69.736944,07/22/14
01,ME,PINETTE'S SALVAGE YARD,0101036,MED980732291,GARDNER CREEK RD,WASHBURN,04786,AROOSTOOK,N,N,,+46.778200,-068.170100,09/30/02
01,ME,PORTSMOUTH NAVAL SHIPYARD,0101072,ME7170022019,SEAVEY ISLAND,KITTERY,03904,YORK,Y,N,,+43.084167,-70.741666,02/16/24
01,ME,SACO TANNERY WASTE PITS,0101014,MED980520241,FLAG POND RD,SACO,04072,YORK,N,N,,+43.560550,-70.426389,09/29/99
01,ME,"UNION CHEMICAL CO., INC.",0100989,MED042143883,RTE 17,SOUTH HOPE,04862,KNOX,N,N,,+44.214440,-69.189027,09/21/18
01,NH,TOWN GARAGE/RADIO BEACON,0101162,NHD981063860,HOLTON CIRCLE,LONDONDERRY,03053,ROCKINGHAM,N,N,,42.861669,-71.393611,07/21/14
