EPA ID,Site Name,City,County,State,National Priorities List Status,Superfund Alternative Approach,Construction Complete,Site-wide Ready for Anticipated Use,Human Exposure Under Control,Groundwater Migration Under Control,Region,Site ID,Address,Zip,FF Ind,NAI,Native American Entity (NAI Status),Latitude,Longitude,NPL Status Date,Site_ID_Fixed,site_link,Contaminants Media,Contaminants,Remedies Media,Remedy Component
AK0001897602,SALT CHUCK MINE,THORNE BAY,[Blank County],AK,Final NPL,No ,No ,No ,Yes,Yes,10.0,1001984,"4 MI SW CY,  T72S R84E S17, COPPER RIVER MERIDIAN, 3.5 AIR MI N OF KARTA BAY",99919.0,N,Y,Organized Village of Kasaan (Current),55.626442,-132.558853,03/04/10,1001984.0,https://cumulis.epa.gov/supercpad/CurSites/csitinfo.cfm?id=1001984,,,,
AK1570028646,EIELSON AIR FORCE BASE,FAIRBANKS,FAIRBANKS NORTH STAR,AK,Final NPL,No ,Yes,No ,Insufficient Data,Insufficient Data,10.0,1000110,HIGHWAY 2 - 16 MI SE OF FAIRBANKS,99702.0,Y,N,,64.67145,-147.0492,11/21/89,1000110.0,https://cumulis.epa.gov/supercpad/CurSites/csitinfo.cfm?id=1000110,"['Sediment', 'Soil', 'Liquid Waste', 'Groundwater', 'Surface Water']","['GASOLINE', 'XYLENE (MIXED ISOMERS)', 'BENZO(GHI)PERYLENE', 'ARSENIC', 'PHENANTHRENE', ""P,P'-DDE"", 'POLYCYCLIC AROMATIC HYDROCARBONS (PAHS)', 'BENZO[A]ANTHRACENE', 'INDENO(1,2,3-CD)PYRENE', 'TOLUENE', 'BETA-HEXACHLOROCYCLOHEXANE', 'MANGANESE', 'BENZENE', 'CHLOROETHENE (VINYL CHLORIDE)', 'ETHYLBENZENE', 'CHROMIUM(VI)', 'BIS(2-ETHYLHEXYL)PHTHALATE', 'TOTAL PETROLEUM HYDROCARBONS (TPH)', 'LEAD', '1,1,1-TRICHLOROETHANE', 'BERYLLIUM', '2-METHYLNAPHTHALENE', '1,2-DICHLOROETHANE', 'AROCLOR 1254', 'DELTA-HEXACHLOROCYCLOHEXANE', 'TRICHLOROETHENE', 'PERFLUOROOCTANOIC ACID (PFOA)', 'BENZO[A]PYRENE', '1,4-DICHLOROBENZENE', 'PYRENE', 'NAPHTHALENE', 'FLUORANTHENE', 'PENTACHLOROPHENOL', 'ALPHA-HEXACHLOROCYCLOHEXANE', 'CHROMIUM', 'HEPTACHLOR EPOXIDE', 'ANTHRACENE', 'DIELDRIN', 'KEROSENE', 'DIBENZO(A,H)ANTHRACENE', 'TRICHLOROETHANE (MIXED ISOMERS)', 'CHLORDANE', ""P,P'-DDD"", 'BARIUM', 'BENZO(B)FLUORANTHENE', 'NICKEL', 'ALDRIN', 'CHRYSENE', 'TETRACHLOROETHENE', '1,1-DICHLOROETHENE', ""P,P'-DDT""]","['Sediment', 'Debris', 'Soil', 'Liquid Waste', 'Other', 'Free-phase NAPL', 'Groundwater', 'Surface Water']","['Institutional Controls', 'Free Product Recovery (active or passive, excluding MPE and bioslurping)', 'Water Supply (abandon water supply well)', 'Other (not otherwise specified)', 'Bioremediation (aerobic, insitu)', 'Monitoring', 'Monitoring (groundwater)', 'Water Supply (connect to municipal water supply system)', 'Monitored Natural Attenuation', 'Hydraulic Control (containment)', 'Off-gas Treatment (other, not otherwise specified)', 'Treatment (other, not otherwise specified, exsitu, onsite)', 'Water Supply (temporary replacement, other, not otherwise specified)', 'Extraction (recovery/vertical well)', 'Air Stripping (P&T, exsitu)', 'Disposal (offsite)', 'Excavation', 'Containment (other, not otherwise specified, onsite)', 'Soil Vapor Extraction (insitu)', 'Bioventing (insitu)', 'Drainage/Erosion Control (ditch)', 'Precipitation (P&T, exsitu)', 'No Action', 'Cap (engineered cap)', 'Discharge (surface water/NPDES discharge)', 'Oil Water Separation (P&T, exsitu)', 'Soil Vapor Extraction (exsitu)', 'No Further Action']"
AK4170024323,ADAK NAVAL AIR STATION,ADAK,[Blank County],AK,Final NPL,No ,No ,No ,Yes,Yes,10.0,1000128,ADAK IS,99546.0,Y,N,,51.8775,-176.6525,05/31/94,1000128.0,https://cumulis.epa.gov/supercpad/CurSites/csitinfo.cfm?id=1000128,['Soil'],"['DINITROTOLUENE (MIXED ISOMERS)', '2,4,6-TRINITROTOLUENE', 'NITROGLYCERIN', 'N-METHYL-N,2,4,6-TETRANITROANILINE (TETRYL)', 'HEXAHYDRO-1,3,5-TRINITRO-1,3,5-TRIAZINE (RDX)']","['Sediment', 'Debris', 'Soil', 'Solid Waste', 'Other', 'Groundwater', 'Surface Water']","['Institutional Controls', 'Cover (soil)', 'ESD/Amd - Treatment Area Change', 'Monitoring', 'Treatment (other, not otherwise specified, offsite) ', 'Disposal', 'Open Burn/Open Detonation', 'Disposal (offsite)', 'Excavation', 'ESD/Amd - ICs - Implement or Change', 'Stream Realignment', 'Containment (other, not otherwise specified, onsite)', 'Revegetation', 'Treatment (other, not otherwise specified, onsite)', 'Cap (engineered cap)', 'Operations & Maintenance (O&M)', 'Drainage/Erosion Control (other, not otherwise specified)', 'Sampling', 'No Further Action']"
AK6210022426,FORT WAINWRIGHT,FORT WAINWRIGHT,[Blank County],AK,Final NPL,No ,Yes,No ,Insufficient Data,Insufficient Data,10.0,1001146,"RICHARDSON HWY, SE OF CY",99703.0,Y,N,,64.823,-147.6106,08/30/90,1001146.0,https://cumulis.epa.gov/supercpad/CurSites/csitinfo.cfm?id=1001146,"['Groundwater', 'Soil']","['GASOLINE', 'XYLENE (MIXED ISOMERS)', '1,2-DIMETHYLBENZENE (O-XYLENE)', '2,3,7,8-TETRACHLORODIBENZO-p-DIOXIN (TCDD)', 'ARSENIC', 'DICHLOROMETHANE (METHYLENE CHLORIDE)', '1,3,5-TRIMETHYLBENZENE', 'CADMIUM', '1,2,4-TRIMETHYLBENZENE', 'CIS-1,2-DICHLOROETHENE', 'HEPTACHLOR', ""P,P'-DDE"", 'BENZO[A]ANTHRACENE', 'BUTYLBENZENE', 'BIS(2-CHLOROETHYL)ETHER', 'INDENO(1,2,3-CD)PYRENE', 'PROPYLBENZENE', 'Residual Range Organics (RRO)', 'BUTAN-2-YLBENZENE', 'MINERAL OILS', 'TOLUENE', 'DIESEL FUEL', 'MERCURY', 'MANGANESE', 'BENZENE', 'ANTIMONY', 'ETHYLBENZENE', 'CHLOROETHENE (VINYL CHLORIDE)', 'AROCLOR 1260', 'BIS(2-ETHYLHEXYL)PHTHALATE', '1,2-DIBROMOETHANE', 'IRON', 'TOTAL PETROLEUM HYDROCARBONS (TPH)', 'LEAD', '1,2-DICHLOROETHENE (CIS AND TRANS MIXTURE)', 'TRANS-1,2-DICHLOROETHENE', '1,1,1-TRICHLOROETHANE', 'BERYLLIUM', 'COPPER', '2-METHYLNAPHTHALENE', '1,2-DICHLOROETHANE', 'DIESEL RANGE ORGANICS', 'LEAD COMPOUNDS', 'TRICHLOROETHENE', 'BENZO[A]PYRENE', 'CHLOROFORM', 'BROMODICHLOROMETHANE', '1,1,2-TRICHLOROETHANE', 'CHROMIUM', 'DISULFOTON', '1,2-DICHLOROBENZENE', 'HEPTACHLOR EPOXIDE', 'ALUMINUM', 'KEROSENE', 'DIELDRIN', '1,3-DICHLOROPROPENE (EZ MIXTURE)', 'TRICHLOROETHANE (MIXED ISOMERS)', 'BENZO(B)FLUORANTHENE', 'BARIUM', ""P,P'-DDD"", '1,2,3-TRICHLOROPROPANE', 'ALDRIN', '1,1,2,2-TETRACHLOROETHANE', 'TETRACHLOROETHENE', '1,1-DICHLOROETHENE', ""P,P'-DDT""]","['Sediment', 'Soil', 'Solid Waste', 'Groundwater', 'Surface Water']","['Institutional Controls', 'Monitoring', 'Disposal', 'Monitored Natural Attenuation', 'Monitoring (soil gas)', 'Off-gas Treatment (other, not otherwise specified)', 'Treatment (other, not otherwise specified, exsitu, onsite)', 'Disposal (offsite)', 'Excavation', 'Vapor Extraction (insitu)', 'Containment (other, not otherwise specified, onsite)', 'Multi-phase Extraction (insitu)', 'Soil Vapor Extraction (insitu)', 'ESD/Amd - Cleanup/Performance Standard Change', 'Treatment (other, not otherwise specified, onsite)', 'Cap (engineered cap)', 'Monitoring (ambient air)', 'Air Sparging (physical treatment, insitu)', 'Thermal Treatment (insitu)', 'No Further Action']"
AK6214522157,FORT RICHARDSON (USARMY),ANCHORAGE,[Blank County],AK,Final NPL,No ,Yes,No ,Insufficient Data,Insufficient Data,10.0,1001455,Postal Address is unavailable for the Site,99505.0,Y,N,,61.258333,-149.7,05/31/94,1001455.0,https://cumulis.epa.gov/supercpad/CurSites/csitinfo.cfm?id=1001455,"['Sediment', 'Soil', 'Groundwater', 'Other']","['DIELDRIN', 'DIBENZO(A,H)ANTHRACENE', 'ARSENIC', 'BENZO(B)FLUORANTHENE', '1,2-DIBROMO-3-CHLOROPROPANE', '1,2,3-TRICHLOROPROPANE', 'BENZO[A]PYRENE', '1,1,2-TRICHLOROETHANE', 'BIS(2-ETHYLHEXYL)PHTHALATE', 'BENZO[A]ANTHRACENE', 'CADMIUM', 'PENTACHLOROPHENOL', 'POLYCHLORINATED BIPHENYLS (PCBs)', 'TETRACHLOROETHENE', 'INDENO(1,2,3-CD)PYRENE', 'PHOSPHORUS (P4)', ""P,P'-DDT"", 'LEAD']","['Sediment', 'Soil', 'Other', 'Groundwater', 'Surface Water']","['Institutional Controls', 'Treatment (other, not otherwise specified, exsitu, onsite)', 'Pumping', 'Soil Vapor Extraction (insitu)', 'Revegetation', 'Extraction (recovery/vertical well)', 'No Action', 'Dewatering', 'Air Stripping (P&T, exsitu)', 'Disposal (offsite)', 'Monitoring', 'Excavation', 'Cap (engineered cap)', 'Cap (exsitu)', 'Vapor Extraction (insitu)', 'Monitored Natural Attenuation', 'Chemical Oxidation (exsitu)', 'No Further Action']"
AK8570028649,ELMENDORF AIR FORCE BASE,ANCHORAGE,[Blank County],AK,Final NPL,No ,No ,No ,Insufficient Data,Insufficient Data,10.0,1000155,N BOUNDRY OF CITY LIMITS,99506.0,Y,Y,Chickaloon Native Village (Current); Eklutna Native Village (Current); Knik Tribe (Current),61.254169,-149.7917,08/30/90,1000155.0,https://cumulis.epa.gov/supercpad/CurSites/csitinfo.cfm?id=1000155,"['Sediment', 'Groundwater', 'Surface Water', 'Soil']","['AROCLOR 1016', 'GASOLINE', 'XYLENE (MIXED ISOMERS)', 'DICHLOROMETHANE (METHYLENE CHLORIDE)', 'ARSENIC', 'VOC', 'CIS-1,2-DICHLOROETHENE', 'BENZO[A]ANTHRACENE', 'INDENO(1,2,3-CD)PYRENE', 'TOLUENE', 'MERCURY', 'BENZO(K)FLUORANTHENE', 'DIESEL FUEL', 'MANGANESE', 'BENZENE', 'CHLOROETHENE (VINYL CHLORIDE)', 'ETHYLBENZENE', 'ORGANICS', 'AROCLOR 1260', 'BIS(2-ETHYLHEXYL)PHTHALATE', '1,2-DIBROMOETHANE', 'TOTAL PETROLEUM HYDROCARBONS (TPH)', 'LEAD', '1,1,1-TRICHLOROETHANE', 'BERYLLIUM', '1,2-DICHLOROETHANE', 'CARBON TETRACHLORIDE', 'TRICHLOROETHENE', 'BENZO[A]PYRENE', 'CHLOROFORM', '1,1,2-TRICHLOROETHANE', 'THALLIUM', 'DIELDRIN', 'DIBENZO(A,H)ANTHRACENE', 'BENZO(B)FLUORANTHENE', '1,1,2,2-TETRACHLOROETHANE', 'TETRACHLOROETHENE', 'CHLOROMETHANE', '1,1-DICHLOROETHENE']","['Sediment', 'Soil', 'Sludge', 'Free-phase NAPL', 'Groundwater', 'Surface Water']","['Institutional Controls', 'Treatment (other, not otherwise specified, exsitu)', 'ESD/Amd - Remedy Component Removal', 'Other (not otherwise specified)', 'Monitoring', 'ESD/Amd - Remedy Element Addition/Modification', 'Disposal', 'Monitored Natural Attenuation', 'Off-gas Treatment (other, not otherwise specified)', 'Treatment (other, not otherwise specified, exsitu, onsite)', 'Extraction (recovery/vertical well)', 'Air Stripping (P&T, exsitu)', 'Carbon Adsorption (liquid phase, P&T, exsitu)', 'Disposal (offsite)', 'Excavation', 'ESD/Amd - ICs - Implement or Change', 'Extraction (collection drain)', 'Pumping', 'Discharge (POTW)', 'Bioventing (insitu)', 'Extraction (recovery trench/subsurface collection drain)', 'ESD/Amd - Cleanup/Performance Standard Change', 'Engineering Control (other, not otherwise specified)', 'Bioremediation (P&T, other, not otherwise specified, exsitu)', 'No Action', 'Discharge (surface water/NPDES discharge)', 'ESD/Amd - Significant Cost Change', 'Oil Water Separation (P&T, exsitu)', 'Thermal Treatment (insitu)', 'Storage (temporary, onsite)', 'No Further Action']"
AKD004904215,ALASKA BATTERY ENTERPRISES,FAIRBANKS,FAIRBANKS NORTH STAR,AK,Deleted NPL,No ,Yes,Yes,Yes,Yes,10.0,1000017,157 OLD RICHARDSON HIGHWAY,99701.0,N,N,,64.8203,-147.7038,07/26/96,1000017.0,https://cumulis.epa.gov/supercpad/CurSites/csitinfo.cfm?id=1000017,,,"['Groundwater', 'Soil']","['Monitoring', 'No Action', 'No Further Action']"
AKD980978787,STANDARD STEEL & METALS SALVAGE YARD (USDOT),ANCHORAGE,ANCHORAGE,AK,Deleted NPL,No ,Yes,Yes,Yes,Yes,10.0,1000073,2400 RAILROAD AVENUE,99501.0,Y,N,,61.2279,-149.8324,09/30/02,1000073.0,https://cumulis.epa.gov/supercpad/CurSites/csitinfo.cfm?id=1000073,['Soil'],"['2,3,7,8-TETRACHLORODIBENZO-p-DIOXIN (TCDD)', 'AROCLOR 1260', 'POLYCHLORINATED BIPHENYLS (PCBs)', 'LEAD']","['Groundwater', 'Soil']","['Institutional Controls', 'Containment (other, not otherwise specified, onsite)', 'Physical Separation (exsitu, onsite)', 'Disposal (offsite)', 'Solidification/Stabilization (exsitu, onsite)', 'Excavation', 'Monitoring', 'Solidification/Stabilization (insitu)', 'Cap (engineered cap)']"
AKD980988158,ARCTIC SURPLUS,FAIRBANKS,[Blank County],AK,Deleted NPL,No ,Yes,Yes,Yes,Yes,10.0,1000082,BADGER RD AND OLD RICHARDSON WAY MI. 6,99701.0,N,N,,64.8122,-147.5643,09/25/06,1000082.0,https://cumulis.epa.gov/supercpad/CurSites/csitinfo.cfm?id=1000082,['Soil'],"['AROCLOR 1248', 'AROCLOR 1254', 'ANTIMONY', ""P,P'-DDD"", 'AROCLOR 1260', ""P,P'-DDE"", 'DIOXINS AND DIBENZOFURANS', 'POLYCHLORINATED BIPHENYLS (PCBs)', 'INDENO(1,2,3-CD)PYRENE', 'ALPHA-CHLORDANE', 'GAMMA-CHLORDANE', 'LEAD', ""P,P'-DDT""]","['Groundwater', 'Soil']","['Containment (other, not otherwise specified, onsite)', 'Chemical Treatment (solvent extraction, exsitu)', 'Institutional Controls', 'Consolidate (onsite)', 'Solidification/Stabilization (exsitu, onsite)', 'Disposal (offsite)', 'Excavation', 'Monitoring', 'Cap (engineered cap)']"
AL3210020027,ANNISTON ARMY DEPOT (SOUTHEAST INDUSTRIAL AREA),ANNISTON,CALHOUN,AL,Final NPL,No ,No ,No ,Yes,Yes,4.0,0400443,OFF AL HWY 202,36253.0,Y,N,,33.659439,-85.969439,03/13/89,400443.0,https://cumulis.epa.gov/supercpad/CurSites/csitinfo.cfm?id=0400443,"['Groundwater', 'Soil']","['PHENOL', 'DICHLOROMETHANE (METHYLENE CHLORIDE)', 'ARSENIC', 'CADMIUM', 'CIS-1,2-DICHLOROETHENE', 'VANADIUM', 'HEXAHYDRO-1,3,5-TRINITRO-1,3,5-TRIAZINE (RDX)', 'MANGANESE', 'ANTIMONY', 'CHROMIUM COMPOUNDS', 'CHROMIUM(VI)', 'BIS(2-ETHYLHEXYL)PHTHALATE', 'IRON', '1,1,1-TRICHLOROETHANE', 'LEAD', 'TRANS-1,2-DICHLOROETHENE', 'CARBON TETRACHLORIDE', 'TRICHLOROETHENE', '1,4-DICHLOROBENZENE', 'CHLOROFORM', 'N,N-DIPROPYLNITROUS AMIDE', 'ZINC', 'CHROMIUM', 'THALLIUM', 'ALUMINUM', 'NICKEL', '2,4,6-TRINITROTOLUENE', '1,1-DICHLOROETHANE', 'TETRACHLOROETHENE', '1,1-DICHLOROETHENE']","['Sediment', 'Groundwater', 'Surface Water', 'Soil']","['Institutional Controls', 'Filtration (P&T, exsitu)', 'Other (not otherwise specified)', 'Monitoring', 'Monitoring (groundwater)', 'ESD/Amd - Remedy Element Addition/Modification', 'Monitored Natural Attenuation', 'Treatment (other, not otherwise specified, exsitu, onsite)', 'Bioremediation (other, not otherwise specified, insitu)', 'Air Stripping (P&T, exsitu)', 'Disposal (offsite)', 'Excavation', 'ESD/Amd - ICs - Implement or Change', 'No Action', 'Cap (engineered cap)', 'Treatment (other, not otherwise specified, offsite)', 'Discharge (surface water/NPDES discharge)', 'Operations & Maintenance (O&M)', 'Solidification/Stabilization (exsitu, offsite)', 'No Further Action']"
