EPA ID,Site Name,City,County,State,National Priorities List Status,Superfund Alternative Approach,Construction Complete,Site-wide Ready for Anticipated Use,Human Exposure Under Control,Groundwater Migration Under Control,Region,Site ID,Address,Zip,FF Ind,NAI,Native American Entity (NAI Status),Latitude,Longitude,NPL Status Date,site_link,Contaminants Media,Contaminants,Remedies Media,Remedy Component
AK0001897602,SALT CHUCK MINE,THORNE BAY,[Blank County],AK,Final NPL,No ,No ,No ,Yes,Yes,10.0,1001984,"4 MI SW CY,  T72S R84E S17, COPPER RIVER MERIDIAN, 3.5 AIR MI N OF KARTA BAY",99919.0,N,Y,Organized Village of Kasaan (Current),55.626442,-132.558853,03/04/10,https://cumulis.epa.gov/supercpad/CurSites/csitinfo.cfm?id=1001984,,,,
AK1570028646,EIELSON AIR FORCE BASE,FAIRBANKS,FAIRBANKS NORTH STAR,AK,Final NPL,No ,Yes,No ,Insufficient Data,Insufficient Data,10.0,1000110,HIGHWAY 2 - 16 MI SE OF FAIRBANKS,99702.0,Y,N,,64.67145,-147.0492,11/21/89,https://cumulis.epa.gov/supercpad/CurSites/csitinfo.cfm?id=1000110,"['Soil', 'Liquid Waste', 'Surface Water', 'Groundwater', 'Sediment']","['GASOLINE', 'HEPTACHLOR EPOXIDE', 'LEAD', 'MANGANESE', '1,1,1-TRICHLOROETHANE', 'NAPHTHALENE', 'ANTHRACENE', 'ETHYLBENZENE', ""P,P'-DDE"", 'CHRYSENE', 'PYRENE', 'TOLUENE', 'ALDRIN', 'BENZENE', 'CHLOROETHENE (VINYL CHLORIDE)', 'INDENO(1,2,3-CD)PYRENE', 'TRICHLOROETHENE', 'PENTACHLOROPHENOL', 'CHROMIUM(VI)', 'AROCLOR 1254', '2-METHYLNAPHTHALENE', '1,1-DICHLOROETHENE', 'NICKEL', 'CHROMIUM', 'CHLORDANE', 'DIELDRIN', 'BENZO[A]ANTHRACENE', 'TOTAL PETROLEUM HYDROCARBONS (TPH)', 'FLUORANTHENE', '1,4-DICHLOROBENZENE', 'ALPHA-HEXACHLOROCYCLOHEXANE', 'PERFLUOROOCTANOIC ACID (PFOA)', ""P,P'-DDD"", 'KEROSENE', ""P,P'-DDT"", 'DELTA-HEXACHLOROCYCLOHEXANE', 'BARIUM', '1,2-DICHLOROETHANE', 'DIBENZO(A,H)ANTHRACENE', 'XYLENE (MIXED ISOMERS)', 'BENZO[A]PYRENE', 'TRICHLOROETHANE (MIXED ISOMERS)', 'PHENANTHRENE', 'TETRACHLOROETHENE', 'BERYLLIUM', 'BETA-HEXACHLOROCYCLOHEXANE', 'POLYCYCLIC AROMATIC HYDROCARBONS (PAHS)', 'BIS(2-ETHYLHEXYL)PHTHALATE', 'ARSENIC', 'BENZO(GHI)PERYLENE', 'BENZO(B)FLUORANTHENE']","['Debris', 'Soil', 'Liquid Waste', 'Surface Water', 'Groundwater', 'Other', 'Free-phase NAPL', 'Sediment']","['Extraction (recovery/vertical well)', 'Water Supply (temporary replacement, other, not otherwise specified)', 'Disposal (offsite)', 'Water Supply (abandon water supply well)', 'Free Product Recovery (active or passive, excluding MPE and bioslurping)', 'Excavation', 'Other (not otherwise specified)', 'Hydraulic Control (containment)', 'Bioventing (insitu)', 'Treatment (other, not otherwise specified, exsitu, onsite)', 'Air Stripping (P&T, exsitu)', 'Soil Vapor Extraction (insitu)', 'Discharge (surface water/NPDES discharge)', 'Monitoring', 'Cap (engineered cap)', 'Precipitation (P&T, exsitu)', 'Water Supply (connect to municipal water supply system)', 'Soil Vapor Extraction (exsitu)', 'Containment (other, not otherwise specified, onsite)', 'Off-gas Treatment (other, not otherwise specified)', 'Institutional Controls', 'No Action', 'Oil Water Separation (P&T, exsitu)', 'Monitoring (groundwater)', 'No Further Action', 'Monitored Natural Attenuation', 'Bioremediation (aerobic, insitu)', 'Drainage/Erosion Control (ditch)']"
AK4170024323,ADAK NAVAL AIR STATION,ADAK,[Blank County],AK,Final NPL,No ,No ,No ,Yes,Yes,10.0,1000128,ADAK IS,99546.0,Y,N,,51.8775,-176.6525,05/31/94,https://cumulis.epa.gov/supercpad/CurSites/csitinfo.cfm?id=1000128,['Soil'],"['2,4,6-TRINITROTOLUENE', 'NITROGLYCERIN', 'N-METHYL-N,2,4,6-TETRANITROANILINE (TETRYL)', 'DINITROTOLUENE (MIXED ISOMERS)', 'HEXAHYDRO-1,3,5-TRINITRO-1,3,5-TRIAZINE (RDX)']","['Debris', 'Soil', 'Surface Water', 'Solid Waste', 'Groundwater', 'Other', 'Sediment']","['Disposal (offsite)', 'Revegetation', 'Excavation', 'Cover (soil)', 'Disposal', 'Open Burn/Open Detonation', 'Drainage/Erosion Control (other, not otherwise specified)', 'Monitoring', 'Cap (engineered cap)', 'Treatment (other, not otherwise specified, offsite) ', 'Operations & Maintenance (O&M)', 'ESD/Amd - ICs - Implement or Change', 'Containment (other, not otherwise specified, onsite)', 'Sampling', 'ESD/Amd - Treatment Area Change', 'Institutional Controls', 'No Further Action', 'Treatment (other, not otherwise specified, onsite)', 'Stream Realignment']"
AK6210022426,FORT WAINWRIGHT,FORT WAINWRIGHT,[Blank County],AK,Final NPL,No ,Yes,No ,Insufficient Data,Insufficient Data,10.0,1001146,"RICHARDSON HWY, SE OF CY",99703.0,Y,N,,64.823,-147.6106,08/30/90,https://cumulis.epa.gov/supercpad/CurSites/csitinfo.cfm?id=1001146,"['Groundwater', 'Soil']","['GASOLINE', 'HEPTACHLOR EPOXIDE', 'LEAD', 'HEPTACHLOR', '1,1,2-TRICHLOROETHANE', 'MANGANESE', '1,1,1-TRICHLOROETHANE', '1,2-DIBROMOETHANE', 'ETHYLBENZENE', ""P,P'-DDE"", '1,2-DIMETHYLBENZENE (O-XYLENE)', 'CIS-1,2-DICHLOROETHENE', 'DICHLOROMETHANE (METHYLENE CHLORIDE)', 'PROPYLBENZENE', 'BIS(2-CHLOROETHYL)ETHER', 'TOLUENE', 'BENZENE', 'ALDRIN', '1,2-DICHLOROBENZENE', 'CHLOROETHENE (VINYL CHLORIDE)', 'INDENO(1,2,3-CD)PYRENE', 'TRICHLOROETHENE', '1,3,5-TRIMETHYLBENZENE', 'ANTIMONY', 'BROMODICHLOROMETHANE', 'BUTAN-2-YLBENZENE', 'BUTYLBENZENE', 'IRON', 'DIESEL RANGE ORGANICS', 'TRANS-1,2-DICHLOROETHENE', '2-METHYLNAPHTHALENE', '1,1,2,2-TETRACHLOROETHANE', '1,1-DICHLOROETHENE', 'AROCLOR 1260', 'CHROMIUM', 'DIESEL FUEL', 'CHLOROFORM', 'DIELDRIN', 'BENZO[A]ANTHRACENE', 'TOTAL PETROLEUM HYDROCARBONS (TPH)', 'CADMIUM', 'MERCURY', 'COPPER', 'ALUMINUM', 'LEAD COMPOUNDS', 'KEROSENE', ""P,P'-DDD"", ""P,P'-DDT"", 'Residual Range Organics (RRO)', '1,2,4-TRIMETHYLBENZENE', 'BARIUM', '1,2-DICHLOROETHANE', '1,2,3-TRICHLOROPROPANE', '1,3-DICHLOROPROPENE (EZ MIXTURE)', 'XYLENE (MIXED ISOMERS)', 'BENZO[A]PYRENE', 'MINERAL OILS', 'TRICHLOROETHANE (MIXED ISOMERS)', 'TETRACHLOROETHENE', '2,3,7,8-TETRACHLORODIBENZO-p-DIOXIN (TCDD)', 'BERYLLIUM', 'BIS(2-ETHYLHEXYL)PHTHALATE', 'ARSENIC', '1,2-DICHLOROETHENE (CIS AND TRANS MIXTURE)', 'BENZO(B)FLUORANTHENE', 'DISULFOTON']","['Soil', 'Surface Water', 'Solid Waste', 'Groundwater', 'Sediment']","['Vapor Extraction (insitu)', 'ESD/Amd - Cleanup/Performance Standard Change', 'Disposal (offsite)', 'Air Sparging (physical treatment, insitu)', 'Excavation', 'Disposal', 'Treatment (other, not otherwise specified, exsitu, onsite)', 'Monitored Natural Attenuation', 'Soil Vapor Extraction (insitu)', 'Monitoring', 'Cap (engineered cap)', 'Containment (other, not otherwise specified, onsite)', 'Thermal Treatment (insitu)', 'Off-gas Treatment (other, not otherwise specified)', 'Monitoring (soil gas)', 'Monitoring (ambient air)', 'Institutional Controls', 'Multi-phase Extraction (insitu)', 'No Further Action', 'Treatment (other, not otherwise specified, onsite)']"
AK6214522157,FORT RICHARDSON (USARMY),ANCHORAGE,[Blank County],AK,Final NPL,No ,Yes,No ,Insufficient Data,Insufficient Data,10.0,1001455,Postal Address is unavailable for the Site,99505.0,Y,N,,61.258333,-149.7,05/31/94,https://cumulis.epa.gov/supercpad/CurSites/csitinfo.cfm?id=1001455,"['Groundwater', 'Other', 'Soil', 'Sediment']","['1,2,3-TRICHLOROPROPANE', 'DIBENZO(A,H)ANTHRACENE', 'LEAD', 'BENZO[A]PYRENE', 'PENTACHLOROPHENOL', 'BENZO[A]ANTHRACENE', 'DIELDRIN', 'CADMIUM', '1,1,2-TRICHLOROETHANE', 'TETRACHLOROETHENE', 'POLYCHLORINATED BIPHENYLS (PCBs)', '1,2-DIBROMO-3-CHLOROPROPANE', 'PHOSPHORUS (P4)', 'BIS(2-ETHYLHEXYL)PHTHALATE', 'ARSENIC', 'BENZO(B)FLUORANTHENE', ""P,P'-DDT"", 'INDENO(1,2,3-CD)PYRENE']","['Soil', 'Surface Water', 'Groundwater', 'Other', 'Sediment']","['Monitoring', 'Chemical Oxidation (exsitu)', 'Cap (engineered cap)', 'Cap (exsitu)', 'Extraction (recovery/vertical well)', 'Treatment (other, not otherwise specified, exsitu, onsite)', 'Air Stripping (P&T, exsitu)', 'Vapor Extraction (insitu)', 'Institutional Controls', 'Pumping', 'Dewatering', 'No Action', 'No Further Action', 'Disposal (offsite)', 'Monitored Natural Attenuation', 'Revegetation', 'Excavation', 'Soil Vapor Extraction (insitu)']"
AK8570028649,ELMENDORF AIR FORCE BASE,ANCHORAGE,[Blank County],AK,Final NPL,No ,No ,No ,Insufficient Data,Insufficient Data,10.0,1000155,N BOUNDRY OF CITY LIMITS,99506.0,Y,Y,Chickaloon Native Village (Current); Eklutna Native Village (Current); Knik Tribe (Current),61.254169,-149.7917,08/30/90,https://cumulis.epa.gov/supercpad/CurSites/csitinfo.cfm?id=1000155,"['Groundwater', 'Soil', 'Surface Water', 'Sediment']","['GASOLINE', 'LEAD', 'VOC', 'MANGANESE', '1,1,1-TRICHLOROETHANE', 'CARBON TETRACHLORIDE', '1,1,2-TRICHLOROETHANE', 'ETHYLBENZENE', '1,2-DIBROMOETHANE', 'DICHLOROMETHANE (METHYLENE CHLORIDE)', 'CIS-1,2-DICHLOROETHENE', 'TOLUENE', 'BENZENE', 'CHLOROETHENE (VINYL CHLORIDE)', 'INDENO(1,2,3-CD)PYRENE', 'TRICHLOROETHENE', 'CHLOROMETHANE', '1,1,2,2-TETRACHLOROETHANE', '1,1-DICHLOROETHENE', 'THALLIUM', 'AROCLOR 1260', 'DIESEL FUEL', 'AROCLOR 1016', 'BENZO(K)FLUORANTHENE', 'CHLOROFORM', 'DIELDRIN', 'BENZO[A]ANTHRACENE', 'TOTAL PETROLEUM HYDROCARBONS (TPH)', 'MERCURY', 'ORGANICS', '1,2-DICHLOROETHANE', 'DIBENZO(A,H)ANTHRACENE', 'XYLENE (MIXED ISOMERS)', 'BENZO[A]PYRENE', 'TETRACHLOROETHENE', 'BERYLLIUM', 'BIS(2-ETHYLHEXYL)PHTHALATE', 'ARSENIC', 'BENZO(B)FLUORANTHENE']","['Soil', 'Sludge', 'Surface Water', 'Groundwater', 'Free-phase NAPL', 'Sediment']","['Storage (temporary, onsite)', 'Extraction (recovery/vertical well)', 'ESD/Amd - Cleanup/Performance Standard Change', 'Disposal (offsite)', 'Discharge (POTW)', 'Excavation', 'Other (not otherwise specified)', 'Disposal', 'Bioventing (insitu)', 'Treatment (other, not otherwise specified, exsitu, onsite)', 'Air Stripping (P&T, exsitu)', 'Engineering Control (other, not otherwise specified)', 'Pumping', 'Treatment (other, not otherwise specified, exsitu)', 'ESD/Amd - Remedy Component Removal', 'Discharge (surface water/NPDES discharge)', 'Monitoring', 'Bioremediation (P&T, other, not otherwise specified, exsitu)', 'Carbon Adsorption (liquid phase, P&T, exsitu)', 'ESD/Amd - ICs - Implement or Change', 'Extraction (recovery trench/subsurface collection drain)', 'ESD/Amd - Remedy Element Addition/Modification', 'Thermal Treatment (insitu)', 'Off-gas Treatment (other, not otherwise specified)', 'ESD/Amd - Significant Cost Change', 'Oil Water Separation (P&T, exsitu)', 'Institutional Controls', 'No Action', 'Extraction (collection drain)', 'No Further Action', 'Monitored Natural Attenuation']"
AKD004904215,ALASKA BATTERY ENTERPRISES,FAIRBANKS,FAIRBANKS NORTH STAR,AK,Deleted NPL,No ,Yes,Yes,Yes,Yes,10.0,1000017,157 OLD RICHARDSON HIGHWAY,99701.0,N,N,,64.8203,-147.7038,07/26/96,https://cumulis.epa.gov/supercpad/CurSites/csitinfo.cfm?id=1000017,,,"['Groundwater', 'Soil']","['Monitoring', 'No Further Action', 'No Action']"
AKD980978787,STANDARD STEEL & METALS SALVAGE YARD (USDOT),ANCHORAGE,ANCHORAGE,AK,Deleted NPL,No ,Yes,Yes,Yes,Yes,10.0,1000073,2400 RAILROAD AVENUE,99501.0,Y,N,,61.2279,-149.8324,09/30/02,https://cumulis.epa.gov/supercpad/CurSites/csitinfo.cfm?id=1000073,['Soil'],"['POLYCHLORINATED BIPHENYLS (PCBs)', 'LEAD', 'AROCLOR 1260', '2,3,7,8-TETRACHLORODIBENZO-p-DIOXIN (TCDD)']","['Groundwater', 'Soil']","['Monitoring', 'Cap (engineered cap)', 'Institutional Controls', 'Solidification/Stabilization (exsitu, onsite)', 'Disposal (offsite)', 'Physical Separation (exsitu, onsite)', 'Solidification/Stabilization (insitu)', 'Containment (other, not otherwise specified, onsite)', 'Excavation']"
AKD980988158,ARCTIC SURPLUS,FAIRBANKS,[Blank County],AK,Deleted NPL,No ,Yes,Yes,Yes,Yes,10.0,1000082,BADGER RD AND OLD RICHARDSON WAY MI. 6,99701.0,N,N,,64.8122,-147.5643,09/25/06,https://cumulis.epa.gov/supercpad/CurSites/csitinfo.cfm?id=1000082,['Soil'],"['ANTIMONY', 'LEAD', 'ALPHA-CHLORDANE', 'AROCLOR 1248', 'GAMMA-CHLORDANE', 'POLYCHLORINATED BIPHENYLS (PCBs)', 'DIOXINS AND DIBENZOFURANS', ""P,P'-DDE"", 'AROCLOR 1254', ""P,P'-DDD"", ""P,P'-DDT"", 'AROCLOR 1260', 'INDENO(1,2,3-CD)PYRENE']","['Groundwater', 'Soil']","['Monitoring', 'Cap (engineered cap)', 'Institutional Controls', 'Solidification/Stabilization (exsitu, onsite)', 'Consolidate (onsite)', 'Disposal (offsite)', 'Containment (other, not otherwise specified, onsite)', 'Excavation', 'Chemical Treatment (solvent extraction, exsitu)']"
AL3210020027,ANNISTON ARMY DEPOT (SOUTHEAST INDUSTRIAL AREA),ANNISTON,CALHOUN,AL,Final NPL,No ,No ,No ,Yes,Yes,4.0,0400443,OFF AL HWY 202,36253.0,Y,N,,33.659439,-85.969439,03/13/89,https://cumulis.epa.gov/supercpad/CurSites/csitinfo.cfm?id=0400443,"['Groundwater', 'Soil']","['LEAD', 'MANGANESE', '1,1,1-TRICHLOROETHANE', 'CARBON TETRACHLORIDE', 'DICHLOROMETHANE (METHYLENE CHLORIDE)', 'CIS-1,2-DICHLOROETHENE', 'VANADIUM', '1,1-DICHLOROETHANE', 'TRICHLOROETHENE', 'ANTIMONY', 'IRON', 'N,N-DIPROPYLNITROUS AMIDE', 'CHROMIUM(VI)', 'TRANS-1,2-DICHLOROETHENE', '1,1-DICHLOROETHENE', 'NICKEL', 'THALLIUM', 'CHROMIUM', 'ZINC', 'PHENOL', 'CHLOROFORM', 'CADMIUM', '1,4-DICHLOROBENZENE', 'CHROMIUM COMPOUNDS', 'ALUMINUM', '2,4,6-TRINITROTOLUENE', 'TETRACHLOROETHENE', 'BIS(2-ETHYLHEXYL)PHTHALATE', 'ARSENIC', 'HEXAHYDRO-1,3,5-TRINITRO-1,3,5-TRIAZINE (RDX)']","['Groundwater', 'Soil', 'Surface Water', 'Sediment']","['Disposal (offsite)', 'Excavation', 'Other (not otherwise specified)', 'Filtration (P&T, exsitu)', 'Treatment (other, not otherwise specified, exsitu, onsite)', 'Air Stripping (P&T, exsitu)', 'Discharge (surface water/NPDES discharge)', 'Monitoring', 'Cap (engineered cap)', 'Solidification/Stabilization (exsitu, offsite)', 'Treatment (other, not otherwise specified, offsite)', 'Operations & Maintenance (O&M)', 'ESD/Amd - ICs - Implement or Change', 'ESD/Amd - Remedy Element Addition/Modification', 'Institutional Controls', 'Bioremediation (other, not otherwise specified, insitu)', 'No Action', 'Monitoring (groundwater)', 'No Further Action', 'Monitored Natural Attenuation']"
